addr,name,reason
0x04A7,BAT_CYCLE_COUNT_1,"registers.yaml BAT_CYCLE_COUNT; 16-bit, two addrs, one name -> index by address order; big-endian read at bank0 0xB167 (registers.yaml note)"
0x0522,CHARGE_TARGET_MV_0,"registers.yaml CHARGE_TARGET_MV; 16-bit, two addrs, one name -> index by address order; little-endian mV, host-read-only (registers.yaml note)"
0x0523,CHARGE_TARGET_MV_1,"registers.yaml CHARGE_TARGET_MV; 16-bit, two addrs, one name -> index by address order; little-endian mV, host-read-only (registers.yaml note)"
0x0730,MODE_PL_DEFAULTS_GAMING_PL1_0,"registers.yaml MODE_PL_DEFAULTS; 12 addrs, one name -> index by address order; Gaming 0x0730-0x0733 (registers.yaml note)"
0x0731,MODE_PL_DEFAULTS_GAMING_PL2_1,"registers.yaml MODE_PL_DEFAULTS; 12 addrs, one name -> index by address order; Gaming 0x0730-0x0733 (registers.yaml note)"
0x0732,MODE_PL_DEFAULTS_GAMING_PL4_2,"registers.yaml MODE_PL_DEFAULTS; 12 addrs, one name -> index by address order; Gaming 0x0730-0x0733 (registers.yaml note)"
0x0733,MODE_PL_DEFAULTS_GAMING_DSTATE_3,"registers.yaml MODE_PL_DEFAULTS; 12 addrs, one name -> index by address order; Gaming 0x0730-0x0733, 4th byte is the D-state (registers.yaml note)"
0x0734,MODE_PL_DEFAULTS_OFFICE_PL1_4,"registers.yaml MODE_PL_DEFAULTS; 12 addrs, one name -> index by address order; Office 0x0734-0x0737 (registers.yaml note)"
0x0735,MODE_PL_DEFAULTS_OFFICE_PL2_5,"registers.yaml MODE_PL_DEFAULTS; 12 addrs, one name -> index by address order; Office 0x0734-0x0737 (registers.yaml note)"
0x0736,MODE_PL_DEFAULTS_OFFICE_PL4_6,"registers.yaml MODE_PL_DEFAULTS; 12 addrs, one name -> index by address order; Office 0x0734-0x0737 (registers.yaml note)"
0x0737,MODE_PL_DEFAULTS_OFFICE_DSTATE_7,"registers.yaml MODE_PL_DEFAULTS; 12 addrs, one name -> index by address order; Office 0x0734-0x0737, 4th byte is the D-state (registers.yaml note)"
0x0743,CTGP_DB_CTRL,"registers.yaml CTGP_DB_CTRL / OFFSET; 2-way name split over 4 addrs; 0x0743 is the feature-bit byte (GpuFeatures: bit 0 DB control, bit 1 DB enable, bit 2 cTGP enable) per registers.yaml note"
0x0744,CTGP_OFFSET,"registers.yaml CTGP_DB_CTRL / OFFSET; 2-way name split over 4 addrs; 0x0744 is the cTGP offset over BIOS DefaultTGP per registers.yaml note"
0x0745,CTGP_DB_TPP_TARGET,"registers.yaml CTGP_DB_CTRL / OFFSET; 2-way name split over 4 addrs; 0x0745 is the DB total-processing-power target per registers.yaml note"
0x0746,CTGP_DB_MAX_TGP,"registers.yaml CTGP_DB_CTRL / OFFSET; 2-way name split over 4 addrs; 0x0746 is the DB max TGP per registers.yaml note"
0x07A7,MODE_PL_DEFAULTS_TURBO_PL1_8,"registers.yaml MODE_PL_DEFAULTS; 12 addrs, one name -> index by address order; Turbo 0x07A7-0x07AA (ECSpec calls it BATTERYSAVER) per registers.yaml note"
0x07A8,MODE_PL_DEFAULTS_TURBO_PL2_9,"registers.yaml MODE_PL_DEFAULTS; 12 addrs, one name -> index by address order; Turbo 0x07A7-0x07AA (ECSpec calls it BATTERYSAVER) per registers.yaml note"
0x07A9,MODE_PL_DEFAULTS_TURBO_PL4_10,"registers.yaml MODE_PL_DEFAULTS; 12 addrs, one name -> index by address order; Turbo 0x07A7-0x07AA (ECSpec calls it BATTERYSAVER) per registers.yaml note"
0x07AA,MODE_PL_DEFAULTS_TURBO_DSTATE_11,"registers.yaml MODE_PL_DEFAULTS; 12 addrs, one name -> index by address order; Turbo 0x07A7-0x07AA, 4th byte is the D-state, read but never written (registers.yaml note)"
0x07A6,OEM_4_CHARGING_PROFILE,"the name ec/ghidra/README.md prescribes for this address (step 3); the byte is the charge-profile bits 4-5 = High capacity/Balanced/Stationary, so OEM_4 alone would drop what the register is for -- the parenthetical in registers.yaml is CHARGING_PROFILE_MASK, whose MASK qualifier is not carried"
0x07D8,MODE_TCC_OFFSET_DEFAULTS_GAMING_0,"registers.yaml MODE_TCC_OFFSET_DEFAULTS; 3 addrs, one name -> index by address order; Gaming/Office/Turbo TCC offset defaults in degrees C, ECSpec ADDR_GAMING/OFFICE/TURBO_TCC_OFFSET_DEFAULT_VALUE"
0x07D9,MODE_TCC_OFFSET_DEFAULTS_OFFICE_1,"registers.yaml MODE_TCC_OFFSET_DEFAULTS; 3 addrs, one name -> index by address order; Gaming/Office/Turbo TCC offset defaults in degrees C, ECSpec ADDR_GAMING/OFFICE/TURBO_TCC_OFFSET_DEFAULT_VALUE"
0x07DA,MODE_TCC_OFFSET_DEFAULTS_TURBO_2,"registers.yaml MODE_TCC_OFFSET_DEFAULTS; 3 addrs, one name -> index by address order; Gaming/Office/Turbo TCC offset defaults in degrees C, ECSpec ADDR_GAMING/OFFICE/TURBO_TCC_OFFSET_DEFAULT_VALUE"
